signal_date,execution_date,optimizer_status,warning,turnover,holding_count,commission,slippage,market_impact,total_cost,cost_fraction,max_adv_participation,hhi,effective_holdings
2022-01-31,2022-02-01,optimal_target_cardinality,,0.9999999999999999,50,99.99999999999997,499.9999999999999,340.64798599358255,940.6479859935824,0.0009406479859935824,0.00056794097803139,0.04970671567266808,20.11800591665049
2022-02-28,2022-03-01,optimal_target_cardinality,,0.14269013913540163,50,14.035703450204917,70.17851725102457,44.04545537733941,128.2596760785689,0.00013039169066261046,0.000248955898216566,0.04833799955146641,20.687657935353336
2022-03-31,2022-04-01,optimal_target_cardinality,,0.10478955549052307,50,10.881306977351867,54.40653488675933,36.245397366469696,101.5332392305809,9.777890678601945e-05,0.00014870107825475313,0.047510064598072894,21.048171760232925
2022-04-29,2022-05-02,optimal,,0.11658622986129878,50,11.226459704939073,56.132298524695344,45.82269774259379,113.1814559722282,0.00011753838332675226,0.0003381697511334995,0.04740848124338142,21.093272211490795
2022-05-31,2022-06-01,optimal_target_cardinality,,0.12619097780326308,50,12.276544362837623,61.382721814188095,74.20045300539522,147.85971918242092,0.000151985460972446,0.0006414742513336834,0.04679492334209115,21.36983947360202
2022-06-30,2022-07-01,optimal,,0.05194075131766681,50,4.6477136138291195,23.238568069145593,11.72083424305904,39.60711592603375,4.4263126553299645e-05,0.00018419368483501541,0.045910467435877594,21.781525125978813
2022-07-29,2022-08-01,optimal_target_cardinality,,0.019248920920311142,50,1.825937917225019,9.129689586125096,2.0680991892535974,13.023726692603713,1.3729529510765957e-05,3.525148781952857e-05,0.045250313131951506,22.09929458574054
2022-08-31,2022-09-01,optimal_target_cardinality,,0.1110458111237996,50,10.389456152073747,51.94728076036873,50.4334422327158,112.77017914515827,0.00012053235347887535,0.0004388082096848875,0.044274047442847596,22.58659548329929
2022-09-30,2022-10-03,optimal_target_cardinality,,0.06268894381273991,50,5.543891172997378,27.719455864986887,8.820195997095555,42.08354303507982,4.7587024752882703e-05,9.188868716297887e-05,0.044114794789541355,22.668132193988534
2022-10-31,2022-11-01,optimal,,0.039879059891092784,50,3.855759407964929,19.27879703982465,3.9297703074587007,27.064326755248278,2.799188936309451e-05,2.262842840923223e-05,0.04415615641685691,22.64689866933806
2022-11-30,2022-12-01,optimal_target_cardinality,,0.16816439337221228,50,17.204513778605158,86.02256889302583,60.516711847361606,163.74379451899262,0.00016005029975327216,0.00021604970414487094,0.04413996447858892,22.655206269707634
2022-12-30,2023-01-03,optimal_target_cardinality,,0.08384361295173971,50,8.120834644299617,40.6041732214981,29.840859469766734,78.56586733556446,8.111538358590619e-05,0.0004981208036891857,0.04439440260430119,22.525362237966327
2023-01-31,2023-02-01,optimal,,0.054798873147335406,50,5.632286776995447,28.16143388497723,8.189208472764726,41.982929134737404,4.084694723650623e-05,9.606851909301708e-05,0.04413321398463661,22.65867154719604
2023-02-28,2023-03-01,optimal_target_cardinality,,0.021572820453951858,50,2.185073628727161,10.925368143635804,1.454878843438298,14.565320615801262,1.4380066756924771e-05,2.9515219642834822e-05,0.04423568752149689,22.606181932043835
