date,strategy_name,symbol,previous_weight,target_weight,trade_weight,action
2026-05-29,multifactor_balanced_us,STX,0.0,0.05000000017456611,0.05000000017456611,BUY
2026-05-29,multifactor_balanced_us,KR,0.0,0.05000000013475286,0.05000000013475286,BUY
2026-05-29,multifactor_balanced_us,BBY,0.0,0.050000000082750636,0.050000000082750636,BUY
2026-05-29,multifactor_balanced_us,MU,0.0,0.050000000101630415,0.050000000101630415,BUY
2026-05-29,multifactor_balanced_us,SNDK,0.0,0.05000000010194606,0.05000000010194606,BUY
2026-05-29,multifactor_balanced_us,DG,0.0,0.04999999999709179,0.04999999999709179,BUY
2026-05-29,multifactor_balanced_us,WDC,0.0,0.04999999972038971,0.04999999972038971,BUY
2026-05-29,multifactor_balanced_us,CNC,0.0,0.04999999993588864,0.04999999993588864,BUY
2026-05-29,multifactor_balanced_us,IBKR,0.0,0.049999999923377,0.049999999923377,BUY
2026-05-29,multifactor_balanced_us,DECK,0.0,0.049999999580797774,0.049999999580797774,BUY
2026-05-29,multifactor_balanced_us,ULTA,0.0,0.04999999935474532,0.04999999935474532,BUY
2026-05-29,multifactor_balanced_us,CME,0.0,0.04999999969261653,0.04999999969261653,BUY
2026-05-29,multifactor_balanced_us,ROST,0.0,0.04999999841219477,0.04999999841219477,BUY
2026-05-29,multifactor_balanced_us,VTRS,0.0,0.04999999960880934,0.04999999960880934,BUY
2026-05-29,multifactor_balanced_us,FIS,0.0,0.049999999629883225,0.049999999629883225,BUY
2026-05-29,multifactor_balanced_us,TPR,0.0,0.049600001736787955,0.049600001736787955,BUY
2026-05-29,multifactor_balanced_us,HUM,0.0,0.04999999846813137,0.04999999846813137,BUY
2026-05-29,multifactor_balanced_us,LITE,0.0,0.047400015964797024,0.047400015964797024,BUY
2026-05-29,multifactor_balanced_us,CBOE,0.0,0.04999997692794122,0.04999997692794122,BUY
2026-05-29,multifactor_balanced_us,CVS,0.0,0.04999991742175147,0.04999991742175147,BUY
2026-05-29,multifactor_balanced_us,FDX,0.0,0.00010007826688500251,0.00010007826688500251,BUY
2026-05-29,multifactor_balanced_us,LRCX,0.0,0.00010000292694198151,0.00010000292694198151,BUY
2026-05-29,multifactor_balanced_us,CIEN,0.0,0.00010000415869312123,0.00010000415869312123,BUY
2026-05-29,multifactor_balanced_us,GEN,0.0,0.00010000385877628245,0.00010000385877628245,BUY
2026-05-29,multifactor_balanced_us,LULU,0.0,0.00010000016991423361,0.00010000016991423361,BUY
2026-05-29,multifactor_balanced_us,EXPE,0.0,0.00010000010983448185,0.00010000010983448185,BUY
2026-05-29,multifactor_balanced_us,CMCSA,0.0,0.00010000043234110045,0.00010000043234110045,BUY
2026-05-29,multifactor_balanced_us,F,0.0,9.999998454766864e-05,9.999998454766864e-05,BUY
2026-05-29,multifactor_balanced_us,EXE,0.0,0.00010000030028763229,0.00010000030028763229,BUY
2026-05-29,multifactor_balanced_us,KHC,0.0,0.00010000029294666175,0.00010000029294666175,BUY
2026-05-29,multifactor_balanced_us,RMD,0.0,0.00010000027631292346,0.00010000027631292346,BUY
2026-05-29,multifactor_balanced_us,SYF,0.0,0.00010000024877773683,0.00010000024877773683,BUY
2026-05-29,multifactor_balanced_us,GM,0.0,9.999996681783181e-05,9.999996681783181e-05,BUY
2026-05-29,multifactor_balanced_us,KLAC,0.0,0.00010000019672370069,0.00010000019672370069,BUY
2026-05-29,multifactor_balanced_us,GEV,0.0,0.00010000019380124766,0.00010000019380124766,BUY
2026-05-29,multifactor_balanced_us,ALL,0.0,0.00010000019018891599,0.00010000019018891599,BUY
2026-05-29,multifactor_balanced_us,CAG,0.0,0.00010000019024781675,0.00010000019024781675,BUY
2026-05-29,multifactor_balanced_us,PAYX,0.0,0.00010000016618130452,0.00010000016618130452,BUY
2026-05-29,multifactor_balanced_us,UAL,0.0,0.00010000015688938132,0.00010000015688938132,BUY
2026-05-29,multifactor_balanced_us,GDDY,0.0,0.00010000014415155792,0.00010000014415155792,BUY
2026-05-29,multifactor_balanced_us,LYB,0.0,0.00010000012687571583,0.00010000012687571583,BUY
2026-05-29,multifactor_balanced_us,APA,0.0,0.00010000012422667682,0.00010000012422667682,BUY
2026-05-29,multifactor_balanced_us,LYV,0.0,0.00010000011084021748,0.00010000011084021748,BUY
2026-05-29,multifactor_balanced_us,FIX,0.0,0.0001000000978962122,0.0001000000978962122,BUY
2026-05-29,multifactor_balanced_us,V,0.0,0.00010000010131976843,0.00010000010131976843,BUY
2026-05-29,multifactor_balanced_us,INTC,0.0,0.0001000001006727138,0.0001000001006727138,BUY
2026-05-29,multifactor_balanced_us,CL,0.0,0.00010000006608249038,0.00010000006608249038,BUY
2026-05-29,multifactor_balanced_us,BAC,0.0,0.00010000005416698849,0.00010000005416698849,BUY
2026-05-29,multifactor_balanced_us,ADP,0.0,0.0001000000088628213,0.0001000000088628213,BUY
2026-05-29,multifactor_balanced_us,NTAP,0.0,0.00010000000694644343,0.00010000000694644343,BUY
