factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,0.0008508185281660002,-0.006535067556982404,-0.03633327289847299,-0.42371513290656504,0.9927007299270073,0.0,0.0,0.24485294117647058
beta_to_spy,-0.06391861242281349,-0.06345411097505955,-0.28128062098398765,-3.2802675398196914,0.9927007299270073,0.0,-0.8999999999999998,0.07083333333333333
book_to_market,-0.001713486299089873,-0.006978404286921405,-0.035256722756752096,-0.4111605087290381,0.9927007299270073,0.0,-0.3,0.12230392156862745
debt_to_equity,-0.0258013663561513,-0.025858018475965836,-0.14714129645099835,-1.7159476427018858,0.9927007299270073,0.0,-0.8999999999999998,0.24558823529411763
earnings_yield,0.02940374423439025,0.027418348364066314,0.14270611129902364,1.6642249401700924,0.9927007299270073,0.0,0.0,0.06911764705882352
free_cash_flow_yield,0.030460948448462796,0.02900896848149348,0.14712024502759372,1.715702143027505,0.9927007299270073,0.0,0.0,0.0980392156862745
gross_margin,-0.033545799339458976,-0.035582940608210156,-0.18594840402127688,-2.168512397542648,0.9927007299270073,0.0,-0.6,0.257843137254902
max_drawdown_252d,0.04914533277491878,0.029396676337537703,0.13339231434549817,1.5556083361813648,0.9927007299270073,0.0,0.49999999999999994,0.1534313725490196
momentum_12_1,0.02929114208246754,0.02301113951211162,0.1102645508158911,1.2858945830283721,0.9927007299270073,0.0,0.6,0.17524509803921565
momentum_3m,0.03859125984855022,0.02288467915777733,0.11182392928264205,1.3040799046793372,0.9927007299270073,0.0,0.3,0.420343137254902
momentum_6m,0.043201224131457806,0.025847365938677466,0.11887709038480188,1.3863331908659131,0.9927007299270073,0.0,0.39999999999999997,0.28308823529411764
operating_margin,0.028989888496423935,0.03889481339847355,0.2323829618583975,2.710027743555972,0.9927007299270073,0.0,0.6,0.042647058823529406
realized_vol_252d,-0.0724264006262381,-0.038855825145556064,-0.17872671880236246,-2.0842937993202373,0.9927007299270073,0.0,-0.3,0.09019607843137255
realized_vol_60d,-0.052028685301463554,-0.03393015124485886,-0.16846263544611892,-1.9645950467303606,0.9927007299270073,0.0,-0.39999999999999997,0.2615196078431372
roe,0.03827190157585579,0.038774390964795465,0.22091145235241397,2.5762481033746716,0.9927007299270073,0.0,0.7999999999999999,0.18553921568627452
sales_yield,0.02000162743872723,0.01979533637021384,0.10007777598568249,1.1670973950312378,0.9927007299270073,0.0,0.3,0.06397058823529411
