factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,-0.00256204493189666,0.005795020054793269,0.11649664452014764,0.7367894729012799,0.975609756097561,0.0,0.3,0.25187373737373736
beta_to_spy,-0.07730555164289168,-0.047156149304934745,-0.20179279385516036,-1.2762496879822731,0.975609756097561,0.0,-0.8999999999999998,0.07148989898989899
book_to_market,0.008015982776505436,0.0058394638777693264,0.10435303690176702,0.6599865547303688,0.975609756097561,0.0,0.09999999999999999,0.1119570707070707
debt_to_equity,-0.0074449467197471916,-0.0056015283554811295,-0.14734159962758034,-0.931870097831542,0.975609756097561,0.0,-0.7,0.281800505050505
earnings_yield,0.016326210628192485,0.0032195154779995237,0.058753040344023115,0.3715868538937517,0.975609756097561,0.0,0.39999999999999997,0.07065909090909092
free_cash_flow_yield,0.015607974027141458,0.002449800471071078,0.04603857695177675,0.29117352680109293,0.975609756097561,0.0,0.09999999999999999,0.0880479797979798
gross_margin,-0.004953874235767245,-0.0007437628758178774,-0.019394380017976467,-0.12266082932732598,0.975609756097561,0.0,-0.3,0.2860883838383838
max_drawdown_252d,0.042455760532360366,0.012971931148574738,0.07490612492454587,0.4737479309173465,0.975609756097561,0.0,0.7,0.11578535353535353
momentum_12_1,0.06968914484944708,0.03263049310673953,0.2338248218966962,1.4788380213535453,0.9752646352003207,0.0003454231433506045,0.39999999999999997,0.20978927025355593
momentum_3m,0.037796519892740923,0.017427773027409943,0.1356669897617915,0.858033381892011,0.975609756097561,0.0,0.39999999999999997,0.42434343434343436
momentum_6m,0.06114786679855253,0.0306904534250849,0.22039412279214451,1.3938948218760108,0.975609756097561,0.0,0.09999999999999999,0.3000479797979798
operating_margin,0.006362022795927578,0.0054860422565268475,0.19249892862135734,1.2174701231713314,0.975609756097561,0.0,0.6,0.07699494949494949
realized_vol_252d,-0.09286410929917248,-0.04151262429889195,-0.21007927807187013,-1.3286580158219516,0.975609756097561,0.0,-0.8999999999999998,0.07017676767676766
realized_vol_60d,-0.08364261585954254,-0.0320401861901386,-0.17968647279910355,-1.1364370375341166,0.975609756097561,0.0,-0.8999999999999998,0.24027525252525256
roe,0.009670204959542062,-0.0010861720553241015,-0.028044397568647784,-0.17736834384843062,0.975609756097561,0.0,0.6,0.21741666666666665
sales_yield,0.013423486449896846,0.004700800020473484,0.08992271917605128,0.5687212119840435,0.975609756097561,0.0,0.3,0.06640404040404042
