category,metric,value
performance,total_return,1.3465918843933955
performance,gross_total_return,1.3541220671460854
performance,net_total_return,1.3465918843933955
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.1728728664792043
performance,annualized_volatility,0.18844385251835152
performance,downside_volatility,0.1291994809355495
performance,sharpe_ratio,0.9405825649696783
performance,sortino_ratio,1.3718863332190756
performance,calmar_ratio,0.6347191817700428
performance,omega_ratio,1.175405623037274
performance,max_drawdown,-0.2723611818333792
performance,var_95_daily,-0.018638885338713704
performance,cvar_95_daily,-0.026173843347485404
benchmark,alpha_annualized,0.03167986123935225
benchmark,beta,1.0462253521449831
benchmark,correlation,0.9305609786740593
benchmark,r_squared,0.865943735030823
benchmark,tracking_error,0.06942991313918001
benchmark,information_ratio,0.5489197574984158
benchmark,up_capture,1.0708480824956603
benchmark,down_capture,1.0387237238198002
portfolio,average_turnover,0.055526726403104396
portfolio,average_number_of_holdings,35.0
portfolio,cost_drag,0.007530182752689907
portfolio,max_adv_participation,0.0004972925597509167
