category,metric,value
performance,total_return,1.5947222235711935
performance,gross_total_return,1.6033441260188361
performance,net_total_return,1.5947222235711935
performance,benchmark_total_return,0.927938296063368
performance,cagr,0.20081241976340003
performance,annualized_volatility,0.19512642117544896
performance,downside_volatility,0.14018401712090947
performance,sharpe_ratio,1.0364627134163262
performance,sortino_ratio,1.442684152618401
performance,calmar_ratio,0.5976007573638259
performance,omega_ratio,1.2410458210735285
performance,max_drawdown,-0.3360310663748761
performance,var_95_daily,-0.01740479857186685
performance,cvar_95_daily,-0.03083506562668628
benchmark,alpha_annualized,0.06084968282988964
benchmark,beta,0.9791436204350842
benchmark,correlation,0.95882507416052
benchmark,r_squared,0.9193455228389267
benchmark,tracking_error,0.05555849219576332
benchmark,information_ratio,1.0410281193096373
benchmark,up_capture,1.0173963956928906
benchmark,down_capture,0.9496651212533933
portfolio,average_turnover,0.05747155243205012
portfolio,average_number_of_holdings,35.903225806451616
portfolio,cost_drag,0.008621902447642604
portfolio,max_adv_participation,0.0022397637075420654
portfolio,average_holding_period_days,911.0588235294117
portfolio,estimated_capacity,44647566.912199326
portfolio,average_hhi,0.04306889169117257
portfolio,average_effective_holdings,23.269304724579786
